BEGIN_DATA,
year,month,day,hour,load
2011,1,1,0,4.8100000000000005
2011,1,1,1,4.33
2011,1,1,2,4.54
2011,1,1,3,4.69
2011,1,1,4,4.3
2011,1,1,5,4.48
2011,1,1,6,4.53
2011,1,1,7,4.54
2011,1,1,8,4.62
2011,1,1,9,4.68
2011,1,1,10,4.8
2011,1,1,11,4.87
2011,1,1,12,4.99
2011,1,1,13,5.0600000000000005
2011,1,1,14,5.15
2011,1,1,15,5.17
2011,1,1,16,5.17
2011,1,1,17,5.05
2011,1,1,18,4.97
2011,1,1,19,4.94
2011,1,1,20,4.9
2011,1,1,21,4.83
2011,1,1,22,4.8
2011,1,1,23,4.69
2011,1,2,0,4.5600000000000005
2011,1,2,1,4.53
2011,1,2,2,4.55
2011,1,2,3,4.49
2011,1,2,4,4.54
2011,1,2,5,4.61
2011,1,2,6,4.73
2011,1,2,7,5.17
2011,1,2,8,5.51
2011,1,2,9,6.2
2011,1,2,10,6.38
2011,1,2,11,6.32
2011,1,2,12,6.3
2011,1,2,13,6.33
2011,1,2,14,6.34
2011,1,2,15,6.44
2011,1,2,16,6.72
2011,1,2,17,6.640000000000001
2011,1,2,18,6.62
2011,1,2,19,6.47
2011,1,2,20,5.82
2011,1,2,21,6.34
2011,1,2,22,6.15
2011,1,2,23,5.7
2011,1,3,0,5.32
2011,1,3,1,5.23
2011,1,3,2,5.21
2011,1,3,3,5.22
2011,1,3,4,5.24
2011,1,3,5,5.29
2011,1,3,6,5.51
2011,1,3,7,5.95
2011,1,3,8,6.8
2011,1,3,9,7.01
2011,1,3,10,7.04
2011,1,3,11,6.934
2011,1,3,12,6.8
2011,1,3,13,6.95
2011,1,3,14,6.816
2011,1,3,15,6.554
2011,1,3,16,6.74
2011,1,3,17,6.6000000000000005
2011,1,3,18,6.62
2011,1,3,19,6.73
2011,1,3,20,6.19
2011,1,3,21,6.42
2011,1,3,22,6.38
2011,1,3,23,5.65
2011,1,4,0,5.4
2011,1,4,1,5.3100000000000005
2011,1,4,2,5.26
2011,1,4,3,5.24
2011,1,4,4,5.2700000000000005
2011,1,4,5,5.32
2011,1,4,6,5.55
2011,1,4,7,6.140000000000001
2011,1,4,8,6.84
2011,1,4,9,6.83
2011,1,4,10,7.19
2011,1,4,11,6.8100000000000005
2011,1,4,12,6.7700000000000005
2011,1,4,13,7.140000000000001
2011,1,4,14,7.079
2011,1,4,15,6.555
2011,1,4,16,6.53
2011,1,4,17,6.658
2011,1,4,18,6.466
2011,1,4,19,6.28
2011,1,4,20,5.974
2011,1,4,21,5.7
2011,1,4,22,5.47
2011,1,4,23,4.93
2011,1,5,0,4.6000000000000005
2011,1,5,1,4.5200000000000005
2011,1,5,2,4.55
2011,1,5,3,4.49
2011,1,5,4,4.53
2011,1,5,5,4.48
2011,1,5,6,4.73
2011,1,5,7,5.2700000000000005
2011,1,5,8,6.2700000000000005
