BEGIN_DATA,
year,month,day,hour,load
2011,1,1,0,7.466778365000001
2011,1,1,1,7.551867508000001
2011,1,1,2,7.573139793
2011,1,1,3,7.573139793
2011,1,1,4,7.573139793
2011,1,1,5,7.594412079
2011,1,1,6,7.615684365
2011,1,1,7,7.849679507
2011,1,1,8,8.104946935000001
2011,1,1,9,8.019857792
2011,1,1,10,7.828407221000001
2011,1,1,11,7.807134936000001
2011,1,1,12,7.892224078
2011,1,1,13,7.956040935
2011,1,1,14,8.019857792
2011,1,1,15,8.126219221000001
2011,1,1,16,7.870951793000001
2011,1,1,17,7.913496364
2011,1,1,18,7.870951793000001
2011,1,1,19,8.126219221000001
2011,1,1,20,8.041130078
2011,1,1,21,8.190036078
2011,1,1,22,7.956040935
2011,1,1,23,7.892224078
2011,1,2,0,8.587632408
2011,1,2,1,8.77778619
2011,1,2,2,8.682709299
2011,1,2,3,8.492555517000001
2011,1,2,4,8.088478732
2011,1,2,5,7.922094173
2011,1,2,6,7.850786505
2011,1,2,7,7.898324951
2011,1,2,8,7.874555728000001
2011,1,2,9,7.80324806
2011,1,2,10,7.779478837
2011,1,2,11,7.827017283
2011,1,2,12,7.755709615
2011,1,2,13,7.684401947
2011,1,2,14,7.827017283
2011,1,2,15,7.660632724
2011,1,2,16,7.589325056
2011,1,2,17,7.589325056
2011,1,2,18,7.494248165
2011,1,2,19,7.44670972
2011,1,2,20,7.44670972
2011,1,2,21,7.422940497
2011,1,2,22,7.327863607
2011,1,2,23,7.351632829000001
2011,1,3,0,7.475464653
2011,1,3,1,7.475464653
2011,1,3,2,7.524363569
2011,1,3,3,7.451015195
2011,1,3,4,7.451015195
2011,1,3,5,7.475464653
2011,1,3,6,7.524363569
2011,1,3,7,7.597711944
2011,1,3,8,7.524363569
2011,1,3,9,7.573262486
2011,1,3,10,7.695509777000001
2011,1,3,11,7.671060319
2011,1,3,12,7.817757068
2011,1,3,13,7.866655984
2011,1,3,14,7.891105443000001
2011,1,3,15,8.257847316
2011,1,3,16,8.47789244
2011,1,3,17,8.306746232
2011,1,3,18,8.453442981
2011,1,3,19,8.893533229
2011,1,3,20,8.624589189
2011,1,3,21,8.331195690000001
2011,1,3,22,8.795735396
2011,1,3,23,8.600139730999999
2011,1,4,0,8.709791455000001
2011,1,4,1,8.511613758
2011,1,4,2,8.511613758
2011,1,4,3,8.610702606
2011,1,4,4,8.362980485
2011,1,4,5,8.31343606
2011,1,4,6,8.387752697
2011,1,4,7,8.486841545999999
2011,1,4,8,8.31343606
2011,1,4,9,8.239119424
2011,1,4,10,7.743675180999999
2011,1,4,11,7.248230938
2011,1,4,12,7.372091998
2011,1,4,13,7.173914301
2011,1,4,14,7.000508816
2011,1,4,15,7.446408635
2011,1,4,16,7.446408635
2011,1,4,17,7.223458725
2011,1,4,18,7.248230938
2011,1,4,19,7.27300315
2011,1,4,20,7.198686513
2011,1,4,21,7.595041908000001
2011,1,4,22,7.842764029
2011,1,4,23,8.090486151
2011,1,5,0,8.563035781
2011,1,5,1,8.480007842000001
2011,1,5,2,8.480007842000001
2011,1,5,3,7.926488248
2011,1,5,4,7.76043237
2011,1,5,5,7.539024533
2011,1,5,6,7.788108350000001
2011,1,5,7,7.76043237
2011,1,5,8,7.788108350000001
2011,1,5,9,7.566700512000001
2011,1,5,10,7.206912776
2011,1,5,11,7.179236797
2011,1,5,12,7.040856898
2011,1,5,13,7.289940715
2011,1,5,14,7.566700512000001
2011,1,5,15,8.203248045
2011,1,5,16,8.535359801
2011,1,5,17,8.64606372
2011,1,5,18,8.701415679
2011,1,5,19,8.756767638
2011,1,5,20,8.895147537000001
2011,1,5,21,8.535359801
2011,1,5,22,8.452331862
2011,1,5,23,8.313951964
2011,1,6,0,7.976430152
2011,1,6,1,7.950274642
2011,1,6,2,7.924119132
2011,1,6,3,8.054896681
2011,1,6,4,8.159518721000001
2011,1,6,5,8.159518721000001
2011,1,6,6,8.29029627
2011,1,6,7,8.394918309000001
2011,1,6,8,8.656473407
2011,1,6,9,8.734939936000002
2011,1,6,10,8.578006878
2011,1,6,11,8.23798525
2011,1,6,12,8.159518721000001
2011,1,6,13,7.845652603
2011,1,6,14,7.793341583
2011,1,6,15,7.688719544
2011,1,6,16,7.374853426
2011,1,6,17,7.531786485
2011,1,6,18,7.191764858
2011,1,6,19,7.453319956
2011,1,6,20,7.453319956
2011,1,6,21,7.662564034
2011,1,6,22,7.636408524
2011,1,6,23,7.845652603
2011,1,7,0,7.254829558000001
2011,1,7,1,7.161528994999999
2011,1,7,2,7.114878713
2011,1,7,3,7.324804981000001
2011,1,7,4,7.324804981000001
2011,1,7,5,7.348130121
2011,1,7,6,7.418105544
2011,1,7,7,7.511406107
